Sigla,Numero,Ano,Nome,Descricao,Apelido,Indexacao
PL,10934,2004,PL 10934/2004,Lei Ordinária,Lei de Diretrizes Orçamentárias (2005); LDO,"ORÇAMENTO, 2005 - União Federal - Diretriz    ORÇAMENTO, 2005 - União Federal - Prioridade    LDO - Exercício financeiro - 2005    ORÇAMENTO, 2005 - União Federal - Despesa orçamentária - Receita    ORÇAMENTO FISCAL - Diretriz    ORÇAMENTO DA SEGURIDADE SOCIAL - Diretriz    ORÇAMENTO DE INVESTIMENTO - Diretriz    UNIÃO FEDERAL - Despesa - Pessoal - Encargo social    AGÊNCIA DE FOMENTO - Recursos financeiros - Aplicação    LEGISLAÇÃO TRIBUTÁRIA - Alteração    PRECATÓRIO - Pagamento - Dotação orçamentária - Sentença judicial - Decisão judicial - Trânsito em julgado     PODER LEGISLATIVO - TCU - Fiscalização - Obra pública - Serviços - Irregularidade    LEI DE DIRETRIZES ORÇAMENTÁRIAS (2005)"
PL,10962,2004,PL 10962/2004,Lei Ordinária,Lei de Afixação de Preços; Lei da Precificação,CONSUMIDOR - Proteção - Bens - Serviços - Produto - Preço - Divergência - Fixação - Pagamento - Informação    VENDA A VAREJO    MERCADORIA - Etiqueta - Embalagem - Código de barras - Leitor ótico - Exposição     LEI DE AFIXAÇÃO DE PREÇOS    
PL,10972,2004,PL 10972/2004,Lei Ordinária,Lei da Hemobrás ,EMPRESA BRASILEIRA DE HEMODERIVADOS E BIOTECNOLOGIA (HEMOBRÁS) - Criação - Ministério da Saúde - Empresa pública - Vinculação    HEMATOLOGIA    BIOTECNOLOGIA - Hemoderivado - Plasma - Distribuição - Armazenamento - Transporte    MEDICAMENTO - Fornecimento    ATIVIDADE HEMOTERÁPICA - Paciente - SUS      SAÚDE PÚBLICA     LEI DA HEMOBRÁS      
PL,10973,2004,PL 10973/2004,Lei Ordinária,Lei de Inovação Tecnológica,PESQUISA CIENTÍFICA - Pesquisa tecnológica - Incentivo - Inovação    UNIVERSIDADE - Parceria - Cooperação - Iniciativa privada    INSTITUIÇÃO CIENTÍFICA    DESENVOLVIMENTO CIENTÍFICO    DESENVOLVIMENTO TECNOLÓGICO    DESENVOLVIMENTO INDUSTRIAL - Empresa - Fundo mútuo de investimento    POLÍTICA CIENTÍFICA E TECNOLÓGICA    ENTIDADE BENEFICENTE    INVENTOR - Incentivo - Patente - Pedido - Solicitação    LEI DE INOVAÇÃO TECNOLÓGICA     
PL,110,2001,PL 110/2001,Lei Complementar,Lei de Atualização Monetária do Fundo de Garantia do Tempo de Serviço; Lei de Atualização Monetária do FGTS ,FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS) - Depósito - Alíquota - Contribuição social - Criação - Empregador - Empregado - Demissão sem justa causa - Contrato de trabalho - Vigência    FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS) - Depósito - Contribuição social - Isenção - Empregador doméstico    FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS) - Depósito - Contribuição social - Isenção - Empresa - Sistema Integrado de Pagamento de Impostos e Contribuições das Microempresas e das Empresas de Pequeno Porte (SIMPLES)    FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS) - Depósito - Contribuição social - Isenção - Pessoa física - Remuneração - Empregado doméstico - Trabalhador rural    FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS) - Recolhimento - Prazo - Vencimento - Multa    FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS) - Conta vinculada - Saldo - Caixa Econômica Federal (CEF) - Crédito - Correção monetária - Complementação - Termo - Adesão    FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS) - Conta vinculada - Titular - Dependente - Crédito - Movimentação - Saque - Câncer - Neoplasia malígna - AIDS - Doença especificada em lei - Aposentadoria por invalidez - Acidente do trabalho -  Doença ocupacional  - Aposentadoria por idade - Estado terminal    FUNDO DE GARANTIA DO TEMPO DE SERVIÇO (FGTS) - Conta vinculada - Titular - Litígio - Ação judicial - Causa judicial - Pagamento - Recebimento -  Complementação - Correção monetária - 1987 - 1988 - 1989 - 1990 - 1991     LEI DE ATUALIZAÇÃO MONETÁRIA DO FUNDO DE GARANTIA DO TEMPO DE SERVIÇO    
PL,1102,1950,PL 1102/1950,Lei Ordinária,Plano SALTE,PLANO SALTE - Aprovação - Execução
PL,11033,2004,PL 11033/2004,Lei Ordinária,Legislação Tributária Federal,MERCADO FINANCEIRO - Rendimentos - Imposto de renda - Retenção na fonte - Incidência - Alíquota    MERCADO DE CAPITAIS - Tributação     FUNDO DE INVESTIMENTO - Cota - Resgate    CLUBE DE INVESTIMENTO    TÍTULO DE CAPITALIZAÇÃO    BOLSA DE VALORES    BOLSA DE MERCADORIAS    BOLSA DE FUTURO    DAY TRADE - Tributação    IMPOSTO DE RENDA - Isenção    PESSOA JURÍDICA - Lucro presumido - Imposto de renda - Lucro real    REPORTO - Criação - Bens - Máquina - Equipamentos - Venda - Importação - IPI - Imposto de importação - PIS-PASEP - COFINS - Contribuição - Isenção - Suspensão    MERCADORIA - Incidência - AFRMM - Porto - Origem - Destino - Prazo - Região Nordeste - Região Norte     PRECATÓRIO - Conta bancária - Depósito - Levantamento - Autorização - Certidão negativa - Juízo - Tributo federal - Tributo estadual - Tributo municipal - Certificado de regularidade - Seguridade Social - FGTS - Dívida ativa - União Federal    INSS - Secretaria da Receita Federal - Procuradoria Geral da Fazenda Nacional - Dívida - Débitos - Parcelamento    FAZENDA NACIONAL - Honorários - Execução - Extinção - Requerimento - Procurador    CRÉDITO TRIBUTÁRIO
PL,11077,2004,PL 11077/2004,Lei Ordinária,Lei de Informática (2004),INFORMÁTICA - Capacitação - Competitividade - Indústria - Imposto - Redução - Benefício fiscal    ADMINISTRAÇÃO PÚBLICA - Aquisição - Compra - Bens - Serviços - Informática - Automação - Licitação - Pregão    EMPRESA NACIONAL - Informática - Benefício fiscal - Investimento - Pesquisa - Tecnologia - Desenvolvimento - Faturamento - Comercialização - Tributos - Contribuição - PIS-PASEP - COFINS - Dedução - Desconto    TELEFONE - Bens - Informática - Produção - Zona Franca - Manaus    IPI - Redução - Benefício fiscal - ADA - ADENE    TECNOLOGIA DA INFORMAÇÃO    LEI DE INFORMÁTICA (2004)
PL,11079,2004,PL 11079/2004,Lei Ordinária,"Lei de Parceria Público-Privada, Lei das PPPs",LICITAÇÃO - Parceria público-privada - Setor público - Setor privado - Contratação - Contrato administrativo - Concessão (administração pública) - União - Estado (ente federado) - Município - Distrito Federal (Brasil)    SERVIÇOS PÚBLICOS - Administração pública     OBRA PÚBLICA - Programa de Incentivo a Implementação de Projetos de Interesse Social (Pips) - Incentivo    FUNDO GARANTIDOR DE PARCERIAS  PÚBLICO-PRIVADAS (FGP) - Criação - Competência - Cota - Integralização - Ações - União    LEI DE PARCERIA PÚBLICO-PRIVADA     
PL,11096,2005,PL 11096/2005,Lei Ordinária,Lei do Programa Universidade para Todos; Lei do Prouni,PROGRAMA UNIVERSIDADE PARA TODOS (PROUNI) - Criação - Financiamento - Projeto - Curso de graduação - Curso sequencial - Concessão - Bolsa de estudo - Instituição educacional - Instituição particular - Ensino superior - Instituição beneficente - Assistência social    UNIVERSIDADE - Classe social - População carente - Pessoa carente - Pessoa deficiente - Deficiente físico - Professor - Licenciatura - Pedagogia - Ensino normal - Educação básica - Magistério - Formação profissional - Acesso    ENSINO SUPERIOR - Acesso    INSTITUIÇÃO EDUCACIONAL - PROGRAMA UNIVERSIDADE PARA TODOS (PROUNI) - Adesão - Isenção - Imposto de renda - Pessoa juríidca - CSLL - PIS - Seguridade social - Contribuição    MINISTÉRIO DA EDUCAÇÃO - PROGRAMA UNIVERSIDADE PARA TODOS (PROUNI) - Desvinculação - Curso superior - Estudante - Matrícula - Avaliação - Desempenho - Insuficiência - SINAES - Bolsa de estudo - Redistribuição    LEI DO PROGRAMA UNIVERSIDADE PARA TODOS
